"ang2","ang4","ang6","ang8","ang10","ang12","ang14","ang16","ang18","ang20","dec_ndvi","jan_ndvi","dec_ndii","jan_ndii","delta_ndvi","delta_ndii","wem","pente","courbure","longitude","latitude","altitude","msw_max"
0.0390042977077257,0.0738527038153454,0.108611131779503,0.14323723380985,0.177688823334803,0.211923926399389,0.245900832804035,0.279578146922028,0.31291483813371,0.345870290815961,-0.0115715619176626,-0.0547389499843121,-0.00697881635278463,0.0090656504034996,-0.0431673880666494,0.0160444667562842,294.217571745339,0.44806752198838,1.34898482301964,45.1720833333333,-12.6854166666667,22.4033031463623,46.9211387634277
0.0388090205904184,0.0736549972147593,0.108411236570676,0.143035393534303,0.177485283903822,0.211718935794416,0.245694640774546,0.27937100468125,0.312706998052555,0.345662006115553,-0.0170615948736668,-0.0446136146783829,-0.00405487278476357,0.00978272221982479,-0.0275520198047161,0.0138375950045884,294.153290060755,0.851273100769574,3.88870365569914,45.1723611111111,-12.6854166666667,21.9006614685059,46.9063606262207
0.0370735934305306,0.0719264639988751,0.106691703250259,0.14132695509583,0.175790021816365,0.210038915473694,0.244031909066533,0.277727587368408,0.311084897385731,0.344063198374543,-0.0248487908393145,-0.0543016977608204,-0.012604839168489,-0.00428066728636622,-0.0294529069215059,0.00832417188212276,294.129875243298,0.157813165838799,1.65525678879002,45.1723611111111,-12.6856944444444,24.1017818450928,46.9139633178711
0.0400768130519797,0.0749207403412678,0.109673388249105,0.144292416027252,0.178735645723012,0.212961113566574,0.2469271210974,0.280592285967376,0.313915592358829,0.346856440955983,0.155490264296532,0.0888898000121117,0.0995402410626411,0.107736669480801,-0.06660046428442,0.00819642841815948,313.202907237918,0.821137454959392,1.00885306436361,45.1281944444444,-12.7254166666667,2.25048041343689,53.3010444641113
0.0571945836421287,0.0920008012414548,0.126694930036105,0.161234700574365,0.195578031466276,0.229683080653331,0.263508296386577,0.297012467851018,0.330154775374645,0.362894840160923,0.199369087815285,0.0989566892385483,0.117882005870342,0.0710787773132324,-0.100412398576736,-0.0468032285571098,312.318216262381,1.37166023394811,1.04600194514155,45.1284722222222,-12.7254166666667,2.37477469444275,53.2662734985352
0.0651033301484981,0.099888804465,0.134552579659952,0.169052423262825,0.203346302528481,0.237392435647603,0.271149342651389,0.30457589594851,0.337631370432737,0.370275493100218,0.533650398254395,0.210594803094864,0.352271974086761,0.133933499455452,-0.323055595159531,-0.21833847463131,311.976262065916,1.75032583627519,2.15315088496794,45.1281944444444,-12.7256944444444,2.62393260002136,53.3189125061035
0.0645980122651465,0.0993828353265086,0.134046575711777,0.168547000992834,0.202842077715855,0.236890022612607,0.270649353506916,0.304078939854313,0.337138052853268,0.369786415066958,0.572416722774506,0.261101961135864,0.387775272130966,0.164635255932808,-0.311314761638641,-0.223140016198158,312.169618067268,1.83297486064485,1.90489892384942,45.1284722222222,-12.7256944444444,3.18609642982483,53.2841720581055
0.0652150735466956,0.0999941625523178,0.13465142407379,0.16914463357649,0.203431766397911,0.237471048948237,0.27122100960503,0.304640529240014,0.337688891316395,0.370325831495693,0.368419468402863,0.182178944349289,0.31160506606102,0.147064968943596,-0.186240524053574,-0.164540097117424,312.311187120629,2.05571984925408,2.50198782391576,45.12875,-12.7256944444444,2.16272783279419,53.2494316101074
0.0837413100377812,0.118462345935409,0.153039053712239,0.187429306975981,0.221591206500443,0.255483131273293,0.289063789204847,0.322292267436117,0.355128082184835,0.387531228068698,0.766603648662567,0.305303424596786,0.464941024780273,0.121503666043282,-0.461300224065781,-0.343437358736992,311.67819430699,2.96233072305536,2.44285015535914,45.1281944444444,-12.7259722222222,4.16065788269043,53.3367767333984
0.0837402240676313,0.118463302863301,0.153042052372304,0.187434343714813,0.221598275181552,0.25549222328458,0.289074893469096,0.322305370424493,0.355143167933365,0.387548278197722,0.606187045574188,0.282986551523209,0.418704211711884,0.132342055439949,-0.32320049405098,-0.286362156271935,311.479108688239,2.89681112727413,1.76349651098816,45.1284722222222,-12.7259722222222,4.50135898590088,53.3020668029785
