"","angle","AIC","R2_adj","p_value","pente_angle","pente_msw","coef_interaction"
"35","ang70",-18310.9178421437,0.264675254601038,5.68858982752556e-64,3.55597032194489,0.0439327782670073,-0.0763263174747498
"36","ang72",-18343.5195688085,0.265775567670256,1.91786775946741e-68,3.95888812289629,0.0522581090817516,-0.0846418508264016
"37","ang74",-18371.1342172318,0.266706278075181,2.91405341777184e-73,4.42808667916936,0.0618564423444917,-0.0942714125061166
"38","ang76",-18388.9545202859,0.267306258310734,2.73612609174859e-78,4.96990213529549,0.0728235194568771,-0.105314594904076
"39","ang78",-18389.5392047626,0.267325935353798,3.08914523946591e-83,5.58427811747696,0.0851126425665531,-0.11772439554774
"40","ang80",-18362.1053756755,0.266402104362319,1.38614359484054e-87,6.25708312353342,0.0983776153610987,-0.131145146784525
"41","ang82",-18292.7061279015,0.26405988889485,1.58813457503638e-90,6.94830081066119,0.111738251928547,-0.144670324873816
"42","ang84",-18166.9193794031,0.259795525493786,5.1491129707781e-91,7.57874446956782,0.12353113564227,-0.156584762281886
"43","ang86",-17976.8697488487,0.253305635720869,4.65917618076702e-88,8.02591962842579,0.131271109828371,-0.164324021931535
"44","ang88",-17731.4485102616,0.244840638745549,3.10868036088226e-81,8.14793286827563,0.132200090000008,-0.165040221362697
"45","ang90",-17461.6473658845,0.235423958221877,4.15829401965246e-71,7.84467630038611,0.124557495028379,-0.156913663658078
"46","ang92",-17210.9209897964,0.22656779700765,4.31150637182832e-59,7.12492655845301,0.108856897386497,-0.140471244137563
"47","ang94",-17014.4261077718,0.219555562048762,7.94172141934359e-47,6.11738903915617,0.0879312625096011,-0.118632975130794
"48","ang96",-16885.3424159319,0.214914438536037,1.31009970986327e-35,5.00604228783178,0.0655133318434248,-0.0952468914617167
"49","ang98",-16817.3956355511,0.212460377370492,3.65954853484945e-26,3.94648942992673,0.0445977349782286,-0.0734002060989484
"50","ang100",-16795.4241265906,0.211665183387127,1.09757522989722e-18,3.02571838077356,0.0267524312909515,-0.0547099859059124
